city,lat,lon,temp,cloud,Wind speed,Humidity
Puerto Ayora,-0.7393,-90.3518,25,50,2.78,94
Esperance,-33.8667,121.9,17,90,6.69,94
Bluff,-46.6,168.3333,16,1,5.71,79
Gazli,40.1333,63.45,10.17,100,2.77,59
Acapulco de Juárez,16.8634,-99.8901,23.79,0,1.53,77
Ushuaia,-54.8,-68.3,8,75,7.72,81
Saskylakh,71.9167,114.0833,-40.65,21,3.72,78
São Filipe,14.8961,-24.4956,20.39,21,6.3,74
Kaitangata,-46.2817,169.8464,18.89,3,3.58,76
Isangel,-19.55,169.2667,27.3,26,2.4,72
Chapleau,47.8405,-83.4034,-17.37,98,2.25,93
Bredasdorp,-34.5322,20.0403,19,96,3.95,88
Esil,51.9556,66.4042,-13.29,100,10.81,92
Bonavista,48.6499,-53.1147,1.92,77,4.12,93
Perelyub,51.8667,50.3667,-17.77,91,5.33,91
Laas,46.6166,10.7002,1.86,90,3.6,93
Agadez,19.75,10.25,13.55,8,2.25,34
Avarua,-21.2078,-159.775,28,42,5.14,74
Hermanus,-34.4187,19.2345,18.33,97,4.42,94
Røros,62.5747,11.3842,-25,75,1.03,77
Drumheller,51.4617,-112.7101,-24.53,100,2.06,70
Kapaa,22.0752,-159.319,20.54,75,2.06,53
Horsham,51.064,-0.3272,2.27,75,6.69,93
Te Anau,-45.4167,167.7167,23.25,0,3.36,38
Tsovazard,40.4709,45.0588,-3,0,0.51,86
Rikitea,-23.1203,-134.9692,25.37,99,5.96,76
Albany,42.6001,-73.9662,-8.56,31,0.57,55
Tasiilaq,65.6145,-37.6368,0,20,9.26,59
Bichena,10.45,38.2,12.63,100,0.58,39
Cidreira,-30.1811,-50.2056,19.08,54,3.76,79
Menongue,-14.6585,17.691,17.8,100,1.96,94
Sitka,57.0531,-135.33,-1,75,2.05,59
Sikonge,-5.6333,32.7667,20,40,1.27,100
Comodoro Rivadavia,-45.8667,-67.5,13,0,2.57,76
Açucena,-19.0731,-42.5464,20.52,100,1.19,94
Hobart,-42.8794,147.3294,19.32,20,10.8,48
Soyo,-6.1349,12.3689,26.56,98,3.71,86
Busselton,-33.65,115.3333,15.9,100,0.89,95
Sosnovo-Ozerskoye,52.5249,111.5418,-16.85,100,2.37,91
Castro,-24.7911,-50.0119,15.7,73,3.96,86
Gagra,43.3283,40.2239,6.84,90,6,87
Lebu,-37.6167,-73.65,14.55,77,1.63,93
Houma,29.5958,-90.7195,11.91,90,1.54,94
Pundaguitan,6.3711,126.1689,27.81,100,3.42,76
Chipinge,-20.1883,32.6236,19.66,36,0.43,96
Cherskiy,68.75,161.3,-20.7,0,1.34,81
Adwa,14.1646,38.8955,12.89,0,1.24,54
Petropavlovsk-Kamchatskiy,53.0452,158.6483,-4,90,1,93
Mataura,-46.1927,168.8643,24.37,24,1.95,53
Port Elizabeth,-33.918,25.5701,20,0,5.14,77
Ancud,-41.8697,-73.8203,13.41,0,1.03,58
Imbituba,-28.24,-48.6703,20,0,1.54,88
Cilegon,-6.0174,106.0538,30,40,7.72,70
Jamestown,42.097,-79.2353,-11.21,1,2.57,62
Gallup,35.5281,-108.7426,1.07,1,2.06,40
Cape Town,-33.9258,18.4232,19.97,75,7.2,73
Yellowknife,62.456,-114.3525,-42.73,1,1.03,66
Dingle,10.9995,122.6711,28.5,54,6.34,78
Kahului,20.8947,-156.47,19.96,20,3.6,56
Gizo Government Station,-8.103,156.8419,29.06,99,1.74,71
Pevek,69.7008,170.3133,-23.11,0,1.35,87
Kilindoni,-7.9139,39.6668,27.95,98,4.43,76
Punta Arenas,-53.15,-70.9167,7.88,0,5.14,81
Shubarkuduk,49.1447,56.4872,-10.48,98,4.33,95
Goundam,16.4145,-3.6708,20.82,99,6.81,29
Port-Gentil,-0.7193,8.7815,27.14,98,4.76,82
Donduşeni,48.2427,27.6101,-5.32,100,4.26,97
San Patricio,28.017,-97.5169,13.9,1,1.54,82
New Norfolk,-42.7826,147.0587,18.25,33,2.24,41
Sorong,-0.8833,131.25,29.04,97,3.21,69
Saint George,37.1041,-113.5841,7.94,1,1.54,31
Altay,47.8667,88.1167,-1.95,35,0.91,90
Ribeira Grande,38.5167,-28.7,16.15,98,9.13,91
Faanui,-16.4833,-151.75,28.04,1,4.75,68
Bhachāu,23.2833,70.35,23.77,0,6.2,24
Katsuura,35.1333,140.3,15.76,0,5.66,31
North Shore,-36.8,174.75,22.57,89,2.24,64
El Salvador,13.8333,-88.9167,22,0,1.54,83
Airai,-8.9266,125.4092,22.51,62,2.03,84
Rome,43.2128,-75.4557,-13.12,1,1.58,72
East London,-33.0153,27.9116,19,0,3.6,88
Sayyan,15.1718,44.3244,9.77,0,2.65,67
Tezu,27.9167,96.1667,25.2,5,1.99,18
Ust-Nera,64.5667,143.2,-29.17,25,1.94,77
Lewistown,40.5992,-77.5714,-4.71,1,0.92,68
Qasigiannguit,68.8193,-51.1922,-2,0,10.8,40
Atuona,-9.8,-139.0333,26.43,90,10.71,79
Arman',59.7,150.1667,-8.51,100,7.89,85
Lagoa,39.05,-27.9833,15.65,89,11.26,90
Thompson,55.7435,-97.8558,-35,40,6.69,68
Saint-Philippe,-21.3585,55.7679,26.29,0,2.57,70
Cootamundra,-34.65,148.0333,27.22,1,1.79,42
Khatanga,71.9667,102.5,-35.81,0,4.12,78
Husavik,66.0449,-17.3389,-1,90,1.54,86
Jacqueville,5.2052,-4.4146,27,40,3.09,94
Artyom,40.4723,50.333,8,20,5.14,76
Tiksi,71.6872,128.8694,-31.79,100,2.68,85
San Quintín,30.4833,-115.95,15.23,0,2.16,71
Ilulissat,69.2167,-51.1,-2,0,10.8,40
Lumby,50.2498,-118.969,1,99,1.54,55
Enshi,30.3,109.4833,12.52,100,0.54,78
Nikolskoye,59.7035,30.7861,-12.53,75,8,79
Vaini,-21.2,-175.2,28,75,4.12,83
Lorengau,-2.0226,147.2712,28.33,95,3.32,82
Mar del Plata,-38.0023,-57.5575,17.6,40,3.6,82
Burhaniye,39.5004,26.9727,6,32,1.54,100
Omboué,-1.5746,9.2618,25.89,95,3.25,87
Kovdor,67.5662,30.4758,-7.58,100,3.27,97
Lompoc,34.6391,-120.4579,10.12,90,2.36,93
Sinnamary,5.3833,-52.95,24.82,100,5.22,88
Barreirinha,-2.7933,-57.07,24.28,88,0.25,91
Alexandria,31.2156,29.9553,13,0,2.06,94
Bethel,41.3712,-73.414,-2.98,1,1.54,63
Makakilo City,21.3469,-158.0858,23.57,1,5.14,49
Saldanha,-33.0117,17.9442,19,13,5.66,82
Socorro,31.6546,-106.3033,10.3,1,3.09,18
San Juan,-31.5375,-68.5364,27.17,0,5,40
Guasdualito,7.2424,-70.7324,24.21,98,1.7,76
Talnakh,69.4865,88.3972,-34.13,0,0.45,72
Ortaköy,38.7373,34.0387,2,0,5.66,69
Barrow,71.2906,-156.7887,-21,90,7.2,77
Nome,64.5011,-165.4064,-10,90,4.63,79
Philadelphia,39.9523,-75.1638,0.88,90,1.91,64
Saint Paul Harbor,57.79,-152.4072,0,1,4.63,64
Dawei,14.0833,98.2,32.47,30,3.62,34
Nemuro,43.3236,145.575,-6,75,4.63,79
Baton Rouge,30.4508,-91.1545,11.03,90,3.6,93
Chu,43.5983,73.7614,3.47,100,4.86,94
Maniitsoq,65.4167,-52.9,0.95,0,11.99,75
Ponta Delgada,37.7333,-25.6667,15.28,40,9.26,94
Quatre Cocos,-20.2078,57.7625,28.29,40,3.09,83
San Cristobal,7.7669,-72.225,18.84,100,0.86,86
Mossamedes,-15.1961,12.1522,21.77,68,0.75,79
Salme,28.0369,85.0942,11,20,1.03,62
Horta,38.5333,-28.6333,15.65,98,8.93,92
Novi Pazar,43.1367,20.5122,5.84,57,1.81,65
Seoul,37.5683,126.9778,8,20,6.17,39
Mizdah,31.4451,12.9801,15.12,97,3.38,32
Luga,58.7372,29.8453,-14.31,89,3.27,95
Chokurdakh,70.6333,147.9167,-32.41,43,2.32,84
George Town,5.4112,100.3354,31.88,20,3.09,45
Arraial do Cabo,-22.9661,-42.0278,22.25,100,3.98,82
Lisala,2.15,21.5167,19.58,63,0.98,72
Tateyama,34.9833,139.8667,15.13,20,5.66,51
Qaanaaq,77.484,-69.3632,-10.7,100,1.27,90
Vila Franca do Campo,37.7167,-25.4333,15.29,40,9.26,94
Bonnyville,54.2668,-110.735,-31,20,2.06,69
Kadayanallur,9.0833,77.35,26.63,65,3,45
Gouyave,12.1646,-61.7296,26,20,7.72,73
Londonderry,54.9981,-7.3093,1.96,66,4.95,85
Hofn,64.2539,-15.2082,0.68,94,7.72,91
Tautira,-17.7333,-149.15,22,75,4.12,94
Asău,46.4333,26.4,-2.78,100,1.24,75
Zhigansk,66.7697,123.3711,-35.39,100,7.24,82
Belmonte,-15.8631,-38.8828,25,20,2.57,88
Suffolk,40.8668,-72.7996,0.37,1,1.88,69
Yangi Marg`ilon,40.4272,71.7189,9,92,2.06,46
Zunyi,27.6867,106.9072,11.76,100,1.42,74
Ocós,14.5094,-92.1933,24,20,1.03,88
Fairbanks,64.8378,-147.7164,-20.91,90,1.04,77
Marawi,7.9986,124.2928,26.67,74,2.24,88
Sur,22.5667,59.5289,21.14,0,2.46,55
Nuuk,64.1835,-51.7216,2,2,14.4,48
Nantong,32.0303,120.8747,17.78,0,0.56,69
Mehamn,71.0357,27.8492,-3.74,100,9.62,95
Ginir,7.1333,40.7,16.73,75,1.03,52
Marovoay,-16.1,46.6333,27,40,1.54,89
Christchurch,-43.5333,172.6333,18.95,0,10.8,68
Novosheshminsk,55.0651,51.2338,-20.48,100,6.42,89
Nakusp,50.2499,-117.8023,-1,88,0.51,100
Alihe,50.5667,123.7167,-15.61,23,2.04,81
Solnechnyy,50.7214,136.6319,-15.47,100,3.72,88
Prince George,53.9166,-122.753,-16.27,20,3.09,78
Cayenne,4.9333,-52.3333,24,90,1.54,100
Vostochnyy,55.8167,37.8667,-16,40,6,78
Puerto Madryn,-42.7692,-65.0385,14.81,95,6.92,68
Fécamp,49.7579,0.3746,3,90,6.69,93
Norman Wells,65.282,-126.8329,-33,75,1.54,75
Ketchikan,55.3422,-131.6461,0.79,40,3.6,86
Tazovsky,67.4667,78.7,-29.87,99,5.94,85
Half Moon Bay,37.4636,-122.4286,10.45,90,3.09,93
Dabakala,8.3667,-4.4333,23.87,100,2.29,80
Remanso,-9.6179,-42.0831,22.59,100,3.18,88
La Unión,-5.4,-80.75,25.04,74,4.92,60
Longyearbyen,78.2186,15.6401,-10,75,6.69,79
Mahébourg,-20.4081,57.7,27,40,3.09,83
Sola,-13.8833,167.55,27.83,17,3.68,76
Kuril'sk,45.2333,147.8833,-9.5,96,7.39,91
Voh,-20.9667,164.7,27.97,56,2.84,65
Antalaha,-14.9003,50.2788,27.64,88,1.5,70
Turukhansk,65.8167,87.9833,-21.22,76,3.39,88
Vestmannaeyjar,63.4427,-20.2734,2.45,49,9.9,81
Vila Velha,-20.3297,-40.2925,23.65,90,3.6,83
Honningsvåg,70.9821,25.9704,-2.47,100,10.71,93
Erenhot,43.6475,111.9767,-8.27,0,4.13,92
Värnamo,57.186,14.04,-10.89,0,3.09,85
Los Llanos de Aridane,28.6585,-17.9182,16,0,0.51,67
Mackay,-21.15,149.2,32.53,86,6.69,66
Portland,45.5234,-122.6762,7.02,75,1.54,87
Nanortalik,60.1432,-45.2371,-3.38,88,1.18,93
Saint Lawrence,36.0553,14.204,16.75,0,3.6,82
Orsha,54.5153,30.4053,-20,90,3,84
Iquitos,-3.7481,-73.2472,24,0,0.33,94
Teknāf,20.8624,92.3058,25.71,0,6.15,38
Wonthaggi,-38.6044,145.5913,18.84,61,6.36,66
Magomeni,-6.8,39.25,26,40,3.4,89
Cumbum,9.7333,77.3,26.23,2,2.47,38
Alto Araguaia,-17.3147,-53.2153,19.42,57,1.21,90
Faya,18.3851,42.4509,7.99,0,2.38,87
Comonfort,20.7167,-100.7667,18,1,5.14,20
Hilo,19.7297,-155.09,20.48,90,3.09,57
Buin,-33.7333,-70.75,16.92,90,2.06,82
Hithadhoo,-0.6,73.0833,27.65,43,5.3,74
Amapá,1,-52,22.15,76,0.48,98
Aksarka,66.5606,67.7975,-34.36,100,10.62,84
Mahenge,-8.6833,36.7167,18.5,100,0.93,100
Urman,54.8831,56.8742,-19.11,100,6.5,90
Macklin,52.3334,-109.9348,-30,49,3.09,69
Deniliquin,-35.5333,144.9667,25.56,0,1.34,37
Port Alfred,-33.5906,26.891,21.67,35,2.68,79
Palencia,42.4167,-4.5,0.9,99,1.83,93
Terrace,54.5163,-128.6035,-2,90,5.66,100
Cañon City,38.441,-105.2424,6,1,6.17,24
Kolondiéba,11.0882,-6.8926,23.08,88,2.3,21
Andra,62.5147,65.8878,-19.04,100,5.18,93
Grindavik,63.8424,-22.4338,1,0,6.69,60
Praia da Vitória,38.7333,-27.0667,15.81,40,7.18,88
Torbay,47.6666,-52.7314,2.21,20,11.32,93
Dikson,73.5069,80.5464,-33.31,91,4.2,87
Kirakira,-10.4544,161.9205,26.72,100,4.77,85
Butaritari,3.0707,172.7902,27.27,26,9.33,80
Hong Kong,22.2855,114.1577,22.39,0,4.12,32
Dobanovci,44.8269,20.2256,6.75,0,3.09,62
Vostok,46.4856,135.8833,-19.07,100,2.29,89
Majagual,8.5389,-74.6204,24.9,99,1.11,91
El Real de Santa Maria,8.109,-77.7325,24.08,99,0.79,92
Luleå,65.5842,22.1547,-10,49,5.14,85
Sistranda,63.7256,8.834,-6,20,5.14,86
Bac Lieu,9.285,105.7244,28.77,88,7.43,60
Paris,48.8534,2.3488,4.89,90,6.69,93
Tuktoyaktuk,69.4541,-133.0374,-27,90,8.75,76
Bonthe,7.5264,-12.505,24.6,86,0.93,85
Hasaki,35.7333,140.8333,16.84,20,2.57,25
Puerto Escondido,15.85,-97.0667,24.79,2,2.32,75
Alofi,-19.0595,-169.9187,29,100,5.14,74
Yermakovskoye,53.2831,92.4003,-4.17,3,1.89,93
Kidal,18.4411,1.4078,20.17,100,3.9,21
Tías,28.9611,-13.645,16,40,4.12,67
Fonte Boa,-2.4959,-66.2662,23.22,92,0.68,97
Banfora,10.6333,-4.7667,24.04,78,0.99,24
Fare,-16.7,-151.0167,28.18,31,4.11,69
Starobaltachevo,56.0013,55.9213,-19.59,100,6.91,90
Antofagasta,-23.65,-70.4,19,20,0.51,77
Aklavik,68.2191,-135.0107,-24,100,3.6,77
Fort Nelson,58.8053,-122.7002,-33,1,0.78,75
Kenai,60.5544,-151.2583,-9.94,90,2.57,86
Narsaq,60.9167,-46.05,8,75,9.26,25
Kyaukse,21.6,96.1333,27,47,1.54,47
Buala,-8.145,159.5921,25.41,100,1.48,86
Preobrazheniye,42.9019,133.9064,-7.61,0,3.75,76
Mandalgovi,45.7625,106.2708,-8.15,0,4.05,82
Kruisfontein,-34.0033,24.7314,19.44,0,0.45,80
Baculin,7.4525,126.5842,27.52,100,3.48,81
Canutama,-6.5339,-64.3831,23.76,100,0.52,97
Libertador General San Martín,-23.8064,-64.7876,22.56,66,0.52,65
Aksay,47.26,39.87,-8,40,4,73
Padang,-0.9492,100.3543,32,20,3.6,55
Taltal,-25.4,-70.4833,17.21,22,1.77,77
Qui Nhon,13.7667,109.2333,23.84,91,3.71,80
Atikokan,48.7555,-91.6216,-28.2,100,4.52,86
São Raimundo das Mangabeiras,-7.0219,-45.4811,22.77,99,1.4,86
Vytegra,61.0064,36.4481,-10.89,100,4.46,95
Zhuhai,22.2769,113.5678,25.46,0,2.57,78
Rājula,21.05,71.4333,25.32,0,6.49,23
Vilyuysk,63.7553,121.6247,-30.38,60,3.49,86
Tigzirt,36.8886,4.1198,12.57,37,4.5,70
Chui,-33.6971,-53.4616,18.34,0,2.73,88
Provideniya,64.3833,-173.3,-19.9,1,4.04,85
La Ronge,55.1001,-105.2842,-33.5,20,3.09,56
Itoman,26.1247,127.6694,21.9,40,5.66,64
Carnarvon,-24.8667,113.6333,30,53,5.14,100
Harlingen,26.1906,-97.6961,14.84,1,1.54,100
Boddam,57.4667,-1.7833,-0.06,90,5.66,69
Pouébo,-20.4,164.5667,27.29,51,2.65,66
Constitución,-35.3333,-72.4167,13.68,13,1.85,90
Myrtle Beach,33.6891,-78.8867,4.94,90,5.14,87
Chapais,49.7834,-74.8492,-14,90,1.54,85
Pisco,-13.7,-76.2167,21.38,75,0.51,78
Coquimbo,-29.9533,-71.3436,15,0,1.54,82
Pudozh,61.8099,36.5345,-15.78,96,2.57,93
Beyneu,45.3167,55.2,1.26,100,3.54,83
Cabo San Lucas,22.8909,-109.9124,17.85,20,2.57,59
Ponorogo,-7.8685,111.462,29.12,71,3.45,74
Jardim,-21.4803,-56.1381,17.4,0,0.51,81
Zhob,31.3411,69.4481,14.89,0,1.85,30
Kloulklubed,7.0419,134.2556,28,90,5.14,89
Abilene,32.4487,-99.7331,4.97,1,3.6,56
Marsá Maţrūḩ,31.3525,27.2453,9,0,2.57,87
Baruun-Urt,46.6806,113.2792,-18.13,40,4.62,87
Piaçabuçu,-10.4056,-36.4344,25.12,84,5.21,84
Terme,41.2092,36.9739,4,0,0.51,93
Gobabis,-22.45,18.9667,19.57,0,2.33,79
College,64.8569,-147.8028,-20.91,90,1.02,77
Miraflores,19.2167,-98.8083,17.88,1,1.54,42
